n,p,k,temperature,humidity,ph,rainfall,label,fertility_score,fertility_level
79,36,34,26.209349063508835,79.59803951345032,6.315951668116995,226.34160579804924,rice,149,medium
58,39,46,25.039142054897475,81.51323903396111,7.095260859723443,217.91828121225217,rice,143,medium
72,42,46,24.463884664236588,83.20494262569493,5.553986767936732,210.69934542185305,rice,160,medium
72,47,44,21.65472186512405,79.91059943845775,7.082508931331296,202.12885336404497,rice,163,medium
65,40,42,23.79518372028997,84.02192648933685,6.46396361172922,213.563185092724,rice,147,medium
82,45,41,27.669211944523404,79.88769332961006,6.758305418953698,229.2531486527699,rice,168,medium
82,45,47,25.85812504056736,83.74378054666194,6.323748165795086,218.2921471435733,rice,174,medium
84,65,36,20.816844061574347,84.34888556759036,6.3997598396678335,241.5587054786992,rice,185,medium
65,56,40,25.28128524040962,81.77784046589271,6.333683592767453,248.30628704856787,rice,161,medium
85,54,39,23.88913406192581,87.51579781456121,6.2493374811556,248.30628704856787,rice,178,medium
97,43,39,26.674349125583547,82.19644096951664,5.700509260670687,248.30628704856787,rice,179,medium
73,36,44,19.56623191440935,80.11973826800629,7.56814284880381,240.0433518482429,rice,153,medium
63,42,37,23.795044051953365,80.4777720642394,6.4809227933708105,243.6501081397493,rice,142,medium
79,45,35,22.899172720041587,81.5077370722647,6.442130966146538,248.30628704856787,rice,159,medium
85,37,41,22.473524835930508,81.62926549805545,6.715204732023267,248.30628704856787,rice,163,medium
78,51,40,22.50212826614141,81.99900343768878,6.090582018372221,248.30628704856787,rice,169,medium
86,39,39,22.756740929895443,80.00219801147915,6.779932047353745,193.83711309108568,rice,164,medium
71,49,40,21.70570074511425,83.91891047403858,5.3760681264955945,239.28525460686623,rice,160,medium
70,44,34,24.58909953797589,84.00873741732416,6.0246719270781455,248.30628704856787,rice,148,medium
68,46,37,24.61378465937229,82.39542244138562,6.434435484076503,248.30628704856787,rice,151,medium
91,48,44,21.224168515750787,82.82386099777736,7.451553459637015,240.92241851079152,rice,183,medium
81,53,37,21.505152656537952,81.67451956517317,6.892262270631881,193.9034532028768,rice,171,medium
82,49,39,24.71348876080172,81.0849737759796,5.248747929290953,248.30628704856787,rice,170,medium
53,49,40,22.739873318198075,81.41222218528263,6.203848272937104,234.2839714197017,rice,142,medium
81,49,39,24.03605296729832,84.79049551587421,7.764846517139945,241.3254906817063,rice,169,medium
66,51,34,23.15212856062924,81.24539901956167,5.033248548343757,247.5101348173456,rice,151,medium
86,48,41,23.1718989603637,82.2925542390939,5.194783252143101,248.30628704856787,rice,175,medium
92,49,39,21.561156806720504,81.42152516780182,6.221024188929619,245.6546533353149,rice,180,medium
89,52,42,24.067271615228208,80.97864282967602,7.708411560465249,222.61994664803075,rice,183,medium
101,45,38,22.41950884307638,80.83812997057204,6.570901796794284,166.56622733395488,rice,184,medium
89,61,38,21.332109431867927,83.35418907922308,7.117832145459735,248.30628704856787,rice,188,high
86,52,36,22.248005600253062,82.91380829660669,6.564570017935938,248.30628704856787,rice,174,medium
84,37,43,21.87399066379774,80.88746006126902,6.91035337965799,248.30628704856787,rice,164,medium
88,45,36,25.42365664677657,82.11288497502598,5.532526227913049,230.1571756417996,rice,169,medium
87,60,37,21.83990696572725,83.32441336202395,5.575735647472307,229.9344204119652,rice,184,medium
75,53,42,21.827944873938563,83.91584949046808,6.340679870745537,248.30628704856787,rice,170,medium
81,56,37,25.822186629187044,83.15075504325328,6.405547459127369,248.30628704856787,rice,174,medium
94,52,41,28.00665668610606,82.33550426582183,6.229493003374301,195.720569181424,rice,187,medium
87,71,42,26.72394590633036,82.33331068509717,6.7384360567301815,237.9535598870551,rice,200,high
76,50,42,21.52359450280896,79.97405897099704,5.746584429787602,194.71218869493185,rice,168,medium
56,39,36,22.150509758234,82.05171139659117,6.2267161490637175,248.30628704856787,rice,131,medium
73,63,42,20.808340732006773,83.38760407540377,6.775240299516679,248.30628704856787,rice,178,medium
86,47,43,23.48311554406017,81.01040126597809,5.975229251614852,232.7838058411244,rice,176,medium
72,53,40,22.41157306074398,82.50732113395134,6.89512845184563,248.30628704856787,rice,165,medium
63,52,34,22.269465993318818,82.25211178433871,5.339396114814876,243.6680361841032,rice,149,medium
